DATA,1_2_DE_ONDE_NOS_VISITA,ESTADO_ORIGEM,1_3_COM_QUEM_VEIO,1_4_NATURAL_DE,1_5_QUANTOS_DIAS_FICARA_EM_JOAO_PESSOA,1_6_VOCE_ENCONTROU_O_QUE_PROCURAVA_NA_FEIRA,1_7_SENTIU_FALTA_DE_ALGUM_PRODUTO,1_8_DO_QUE_MAIS_GOSTOU,1_9_QUANTO_COMPROU_DE_ARTESANATO_NESSA_VIAGEM,1_10_COMPROU_PRINCIPALMENTE,1_11_O_ARTESANATO_QUE_VOCE_COMPROU_FOI_DE_USO,1_12_DESTINO_DA_COMPRA,1_13_PRINCIPAL_MOTIVACAO_DA_COMPRA,1_14_VOCE_SE_CONSIDERA_UM_COMPRADOR_DE_ARTESANATO,1_15_QUANTAS_PECAS_DE_ARTESANATO_VOCE_ESTIMA_TER_EM_SUA_CASA,1_16_QUANTAS_SAO_DO_ARTESANATO_PARAIBANO,1_17__O_QUE_MAIS_ADMIRA_NO_ARTESANATO_PARAIBANO
2022-02-01 19:26:07.179,MATO GROSSO,MT,COM A FAMÍLIA,CUIABÁ,7.0,SIM,NAN,RENDA RENASCENÇA,1000.0,ARTESANATO TRADICIONAL,"PRESENTE, UTILITÁRIOS",PRESENTE,UTILIDADE,FREQUENTE OU ASSÍDUO,10.0,5.0,BELEZA
2022-02-01 19:45:42.282,VITÓRIA DA CONQUISTA,BA,COM A FAMÍLIA,VITÓRIA DA CONQUISTA,7.0,SIM,NÃO,"PEÇAS DE CROCHÊ, RENDA RENASCENÇA",150.0,ARTESANATO TRADICIONAL,"USO PESSOAL, PRESENTE",USO PRÓPRIO,BELEZA,FREQUENTE OU ASSÍDUO,20.0,5.0,ORIGINALIDADE
2022-02-01 19:59:01.748,BANANEIRAS,PB,COM A FAMÍLIA,SOLANEA,5.0,SIM,NÃO,BORDADOS,200.0,ARTESANATO TRADICIONAL,"USO PESSOAL, PRESENTE",USO PRÓPRIO,NOVIDADE,FREQUENTE OU ASSÍDUO,50.0,50.0,"CRIATIVIDADE,DIVERSIDADE"
2022-02-02 17:08:18.683,VITÓRIA DA CONQUISTA,BA,COM COMPANHEIRO (A),CÂNDIDO SALES BA,2.0,SIM,NÃO,BORDADO A MÃO,0.0,NAN,NAN,NAN,NAN,FREQUENTE OU ASSÍDUO,20.0,5.0,DELICADEZA
2022-02-02 17:17:34.032,MANAUS,AM,COM A FAMÍLIA,SANTARÉM,30.0,SIM,NÃO,GOSTOU DE TUDO,0.0,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,3.0,3.0,"PEÇAS LINDAS,BEM ACABADAS"
2022-02-02 17:48:32.693,SALVADOR,BA,SOZINHO,SÃO PAULO,4.0,SIM,NAO,ARTESANATO EM MADIERA,250.0,ARTESANATO TRADICIONAL,"USO PESSOAL, PRESENTE",PRESENTE,BELEZA,EVENTUAL OU OCASIONAL,15.0,4.0,CRIATIVIDADE
2022-02-02 17:54:09.560,NATAL,RN,COM COMPANHEIRO (A),NATAL,3.0,SIM,NÃO,TODAS,100.0,ARTESANATO TRADICIONAL,USO PESSOAL,USO PRÓPRIO,UTILIDADE,EVENTUAL OU OCASIONAL,10.0,1.0,QUALIDADE
2022-02-02 17:59:15.911,MATO GROSSO DO SUL,MS,COM A FAMÍLIA,PARANÁ,21.0,SIM,NÃO,CROCHE,1100.0,ARTESANATO TRADICIONAL,"DECORAÇÃO, UTILITÁRIOS",USO PRÓPRIO,BELEZA,FREQUENTE OU ASSÍDUO,100.0,3.0,"ESTILO NORDESTINO (CERÂMICA, RENDA RENASCENÇA, XILOGRAVURA)"
2022-02-02 18:09:15.704,SÃO PAULO,SP,COM COMPANHEIRO (A),SÃO PAULO,8.0,SIM,MANDALAS DE PALHA,TUDO,0.0,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,12.0,0.0,"CARINHO COM QUE AS PEÇAS SÃO FEITAS, MUITO BEM FEITAS,MUITO BONITAS"
2022-02-02 18:11:51.304,RIO GRANDE DO SUL,RS,COM A FAMÍLIA,RIO GRANDE DO SUL,9.0,SIM,NÃO,PEÇAS DE ALGODÃO COLORIDO,25.0,ARTESANATO CONTEMPORÂNEO,USO PESSOAL,USO PRÓPRIO,BELEZA,FREQUENTE OU ASSÍDUO,20.0,1.0,ORIGINALIDADE NORDESTINA
2022-02-02 18:16:24.169,BELO HORIZONTE,MH,COM COMPANHEIRO (A),BELO HORIZONTE,12.0,SIM,NAN,"PEÇAS DE CERÂMICA,MOSAICO",0.0,NAN,NAN,NAN,NAN,FREQUENTE OU ASSÍDUO,50.0,20.0,"CESTARIA,PEÇAS DE CERÂMICA"
2022-02-02 18:19:20.856,MATO GROSSO DO SUL,MS,COM A FAMÍLIA,AQUIDAUANA - MS,30.0,SIM,NAN,"COLAR,BRINCO DE ESCAMA , FLORES DE ESCAMA",1000.0,ARTESANATO TRADICIONAL,PRESENTE,USO PRÓPRIO,UTILIDADE,FREQUENTE OU ASSÍDUO,200.0,200.0,CRIATIVIDADE
2022-02-02 18:34:52.640,BAHIA,BA,SOZINHO,ITUBERA - BAHIA,120.0,SIM,NAN,"TRABALHO DE CROCHÊ,LICOR",0.0,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,15.0,,XILOGRAVURA
2022-02-02 18:40:22.508,BRASÍLIA,DF,COM COMPANHEIRO (A),RIO GRANDE DO SUL,7.0,SIM,NAN,"PEÇAS DE RENDA FILÉ, CROCHÊ,PEÇAS DE MADEIRA",0.0,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,15.0,1.0,PEÇAS DE MADEIRA - RIQUEZA DE DETALHES
2022-02-02 18:47:09.157,BRASILIA,DF,COM A FAMÍLIA,CAJAZEIRAS,40.0,SIM,NAN,"TUDO, PRODUTOS,GASTRONOMIA",40.0,ARTESANATO TRADICIONAL,PRESENTE,PRESENTE,BELEZA,FREQUENTE OU ASSÍDUO,30.0,15.0,TUDO!
2022-02-02 18:50:17.807,RIO DE JANEIRO,RJ,COM A FAMÍLIA,RIO DE JANEIRO,3.0,NÃO,BISCUIT,ABAJUR DE PVC,0.0,NAN,NAN,NAN,NAN,FREQUENTE OU ASSÍDUO,10.0,7.0,ALGODÃO NATURAL
2022-02-02 19:22:37.045,VITÓRIA DE SANTO ANTÃO,PE,COM COMPANHEIRO (A),VITÓRIA DE SANTO ANTÃO,4.0,SIM,NAN,"ARTESANATO NA MADEIRA, METAL.",35.0,ARTESANATO TRADICIONAL,"DECORAÇÃO, UTILITÁRIOS",USO PRÓPRIO,BELEZA,EVENTUAL OU OCASIONAL,0.0,0.0,"PEÇAS BEM DETALHADAS,MUITO REALISTAS."
