DATA,2__BAIRRO_ONDE_MORA,CIDADE_ONDE_MORA,3__COM_QUEM_VIVE,4__NATURAL_DE,ESTADO_NATURAL,5__HA_QUANTO_ANOS_EM_JOAO_PESSOA,6__VOCE_ENCONTROU_O_QUE_PROCURAVA_NA_FEIRA,"6_1_SE_A_RESPOSTA_ACIMA_FOR_NAO,_O_QUE_VOCE_NAO_ENCONTROU",7__SENTIU_FALTA_DE_ALGUM_PRODUTO,"7_1_SE_A_RESPOSTA_ACIMA_FOR_SIM,_QUAL_PRODUTO_VOCE_SENTIU_FALTA",8__DO_QUE_MAIS_GOSTOU,9__QUANTO_COMPROU_DE_ARTESANATO_NA_FEIRA,10__COMPROU_PRINCIPALMENTE,10_1_O_ARTESANATO_QUE_VOCE_COMPROU_FOI_DE_USO,11__DESTINO_DA_COMPRA,12__PRINCIPAL_MOTIVACAO_DA_COMPRA,13__VOCE_SE_CONSIDERA_UM_COMPRADOR_DE_ARTESANATO,14__QUANTAS_PECAS_DE_ARTESANATO_VOCE_ESTIMA_TER_EM_SUA_CASA,15_QUANTAS_SAO_DO_ARTESANATO_PARAIBANO,16_QUAL_SUA_SUGESTAO_PARA_MELHORAR_OU_DIVERSIFICAR_O_ARTESANATO_PARAIBANO
2022-02-03 19:12:21.867,BANCARIOS,JOÃO PESSOA,COM COMPANHEIRO (A),RECIFE,PE,1.0,SIM,NAN,NÃO,NAN,CROCHÊ,60.0,ARTESANATO TRADICIONAL,"PESSOAL, UTILITÁRIOS",USO PRÓPRIO,UTILIDADE,EVENTUAL OU OCASIONAL,0.0,,SUGESTÃO MELHORAR ESTRUTURA CLIMATIZAÇÃO
2022-02-03 19:13:58.322,TAMBAU,JOÃO PESSOA,SOZINHO,NAN,NAN,0.5833333333,SIM,NAN,NÃO,NAN,"PEÇAS DE RENASCENÇA , MANDALAS COM AREIA,INSTRUMENTOS DE MADEIRA",,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,10.0,5.0,MAIS DIVULGAÇÃO E DAR OPORTUNIDADE A MAIS ARTESÃOS.
2022-02-03 19:18:29.844,ALTIPLANO CABO BRANCO,JOÃO PESSOA,COM FAMÍLIA,FORTALEZA,CE,20.0,SIM,NAN,SIM,ACHOU MUITOS PRODUTOS REPETIDOS,LUMINÁRIAS DE PALHA,150.0,ARTESANATO TRADICIONAL,DECORAÇÃO,USO PRÓPRIO,BELEZA,EVENTUAL OU OCASIONAL,20.0,10.0,DIVERSIFICAR OS PRODUTOS
2022-02-03 19:20:06.729,PORTAL DO SOL,JOÃO PESSOA,COM FAMÍLIA,JOAO PESSOA,PB,20.0,SIM,NAN,NÃO,NAN,PEÇAS DE CROCHÊ,40.0,ARTESANATO TRADICIONAL,PESSOAL,USO PRÓPRIO,BELEZA,EVENTUAL OU OCASIONAL,5.0,3.0,SEM SUGESTÃO
2022-02-03 19:23:08.651,ESTADOS,JOÃO PESSOA,COM FAMÍLIA,SÃO BERNARDO DO CAMPO,SP,19.0,NAN,NAN,NAN,NAN,"VARIEDADE DE PRODUTOS,ORGANIZAÇÃO POR MATERIAL",NAN,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,20.0,,NENHUMA
2022-02-03 19:24:22.419,ESTADOS,JOÃO PESSOA,COM FAMÍLIA,SÃO PAULO,SP,19.0,SIM,NAN,SIM,PEÇAS COM OSSOS,"PEÇAS DE RENASCENÇA, PEÇAS COM ESCAMAS DE PEIXES",100.0,ARTESANATO TRADICIONAL,"DECORAÇÃO, PRESENTE, UTILITÁRIOS",PRESENTE,PREÇO,EVENTUAL OU OCASIONAL,500.0,500.0,TER FEIRAS MAIS VEZES AO ANO ( 1 VEZ AO MÊS )
2022-02-03 19:28:40.971,TAMBAUZINHO,JOÃO PESSOA,COM FAMÍLIA,VARZEA,PB,11.0,SIM,NAN,NÃO,NAN,PEÇAS DE MADEIRA,,NAN,NAN,NAN,NAN,FREQUENTE OU ASSÍDUO,30.0,30.0,MAIS FEIRAS AO ANO
2022-02-04 17:21:47.670,ALTIPLANO CABO BRANCO,JOÃO PESSOA,COM FAMÍLIA,JOÃO PESSOA,PB,57.0,SIM,NAN,NÃO,NAN,"PEÇAS DE RENDA, LUMINÁRIAS",300.0,ARTESANATO CONTEMPORÂNEO,"DECORAÇÃO, PRESENTE",PRESENTE,BELEZA,EVENTUAL OU OCASIONAL,10.0,10.0,SEM SUGESTÃO.
2022-02-04 17:28:47.092,JOAO AGRIPINO,JOÃO PESSOA,COM FAMÍLIA,JOÃO PESSOA,PB,,SIM,NAN,SIM,COCA FEMININO ÍNDIOS,GOSTOU DE TUDO,400.0,ARTESANATO TRADICIONAL,PESSOAL,USO PRÓPRIO,BELEZA,FREQUENTE OU ASSÍDUO,20.0,10.0,NAN
2022-02-04 17:31:23.288,TAMBAUZINHO,JOÃO PESSOA,COM FAMÍLIA,JOÃO PESSOA,PB,52.0,SIM,NAN,NÃO,NAN,"PEÇAS DE ALGODÃO COLORIDO, PEÇAS DE COURO,PEÇAS DE CERÂMICA",50.0,ARTESANATO CONTEMPORÂNEO,PESSOAL,USO PRÓPRIO,BELEZA,EVENTUAL OU OCASIONAL,10.0,10.0,MELHORAR A DIVULGAÇÃO DAS FEIRAS
